0,1,2,3,4,5,6,7
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.7833269,0.62161,0.089878544,0.9959527,0.008999879,0.9999595,0.00089999987,0.9999996
-0.5298362,-0.84810007,0.36161545,0.93232733,0.03699156,0.99931556,0.0036999916,0.99999315
-0.92581475,0.37797764,0.48817724,0.8727445,0.050977893,0.9986998,0.005099978,0.999987
-0.27176043,-0.9623649,0.8248857,0.5652996,0.09684795,0.99529916,0.009699848,0.999953
-0.8754522,0.48330477,0.91276395,0.40848747,0.11474669,0.9933948,0.011499747,0.9999339
0.7403757,0.67219335,0.9734845,0.2287529,0.13359934,0.9910354,0.013399598,0.99991024
0.10775327,-0.99417764,0.9999417,0.010796055,0.15536803,0.9878567,0.015599368,0.99987835
0.10775327,-0.99417764,0.9999417,0.010796055,0.15536803,0.9878567,0.015599368,0.99987835
-0.47242266,-0.88137215,0.9987897,-0.049183946,0.16129234,0.98690665,0.016199293,0.9998688
-0.99265945,0.120943226,0.9857192,-0.16839746,0.17312331,0.9849002,0.017399123,0.9998486
-0.8131574,0.58204395,0.97607094,-0.21745239,0.17804563,0.98402226,0.017899044,0.9998398
-0.8131574,0.58204395,0.97607094,-0.21745239,0.17804563,0.98402226,0.017899044,0.9998398
0.6819639,0.7313858,0.92521155,-0.37945178,0.1947475,0.98085344,0.019598745,0.99980795
0.9491247,0.31490055,0.9050906,-0.42521882,0.1996493,0.9798674,0.020098647,0.999798
0.9491247,0.31490055,0.9050906,-0.42521882,0.1996493,0.9798674,0.020098647,0.999798
0.0910228,-0.99584883,0.8143409,-0.58038694,0.21725361,0.97611517,0.02189825,0.9997602
-0.6689101,0.74334335,0.645435,-0.7638152,0.24158607,0.9703794,0.024397578,0.99970233
-0.9894872,-0.14462051,0.1707518,-0.9853141,0.2926529,0.9562187,0.029695634,0.999559
-0.9894872,-0.14462051,0.1707518,-0.9853141,0.2926529,0.9562187,0.029695634,0.999559
-0.99849504,0.054841883,0.1510127,-0.9885318,0.29456472,0.95563155,0.029895544,0.999553
0.2802689,0.95992154,-0.028403603,-0.99959654,0.31171745,0.95017487,0.03169469,0.9994976
0.9935912,-0.11303352,-0.16761239,-0.98585296,0.32498887,0.9457178,0.033093955,0.99945223
0.61115396,-0.7915118,-0.2458606,-0.9693052,0.33254418,0.9430877,0.033893507,0.9994255
0.61115396,-0.7915118,-0.2458606,-0.9693052,0.33254418,0.9430877,0.033893507,0.9994255
0.25468308,-0.96702456,-0.28442556,-0.95869815,0.33631384,0.94175,0.034293275,0.9994118
0.10071634,0.9949152,-0.59591717,-0.8030459,0.3690624,0.9294046,0.037791,0.99928564
0.99755746,0.069850475,-0.70214635,-0.71203274,0.3820375,0.92414683,0.03918996,0.99923176
0.97364545,-0.22806694,-0.72318816,-0.69065106,0.3848082,0.9229966,0.03948973,0.99921995
0.97364545,-0.22806694,-0.72318816,-0.69065106,0.3848082,0.9229966,0.03948973,0.99921995
0.90892714,-0.41695496,-0.7368556,-0.6760502,0.38665342,0.9222251,0.039689574,0.9992121
-0.7049101,0.7092967,-0.92399824,-0.38239676,0.4186879,0.90813017,0.043186564,0.999067
-0.17520052,-0.9845328,-0.9998449,0.017610127,0.45555893,0.8902056,0.047282364,0.9988816
0.9907285,0.13585658,-0.8971105,0.44180626,0.49427447,0.8693059,0.05167697,0.99866384
-0.5587891,-0.8293098,-0.77276444,0.63469297,0.514136,0.8577087,0.05397376,0.99854237
-0.5587891,-0.8293098,-0.77276444,0.63469297,0.514136,0.8577087,0.05397376,0.99854237
-0.5587891,-0.8293098,-0.77276444,0.63469297,0.514136,0.8577087,0.05397376,0.99854237
-0.5587891,-0.8293098,-0.77276444,0.63469297,0.514136,0.8577087,0.05397376,0.99854237
-0.048648555,0.99881595,-0.5917155,0.80614686,0.5354158,0.84458864,0.056469943,0.9984043
0.60624707,0.7952764,-0.533882,0.845559,0.5413148,0.84082,0.05716881,0.9983645
0.636738,-0.77108026,-0.37387657,0.9274785,0.556361,0.8309407,0.058965776,0.99826
0.636738,-0.77108026,-0.37387657,0.9274785,0.556361,0.8309407,0.058965776,0.99826
-0.20820668,-0.97808486,-0.28900284,0.95732826,0.5638169,0.82589984,0.059864186,0.99820656
-0.8955825,-0.44489545,-0.2017902,0.97942877,0.571227,0.82079214,0.060762547,0.99815226
-0.8955825,-0.44489545,-0.2017902,0.97942877,0.571227,0.82079214,0.060762547,0.99815226
-0.8955825,-0.44489545,-0.2017902,0.97942877,0.571227,0.82079214,0.060762547,0.99815226
-0.94310707,0.33248922,-0.12287415,0.9924223,0.577775,0.8161961,0.061561048,0.9981033
